start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre
2026-03-18T01:52:16.519298,15004966.09375008,333.22301221877586,166.61150610938793,dynerf,sear_steak,True,0.3,hilbert_window,4,True,0.5,6646848.0,7149489.375,13467401.71875008,0.8965352316395967
2026-03-18T01:54:51.125020,42027856.499999925,118.96871304868968,59.48435652434484,dynerf,coffee_martini,True,0.3,default_fifo,4,True,0.5,8353600.0,12633581.875,40121907.937499925,0.9538189758564183
2026-03-18T01:55:41.147011,22322945.281250015,223.98478054774029,111.99239027387014,dynerf,cook_spinach,True,0.3,default_fifo,4,True,0.5,7303040.0,6333688.75,20466826.781250007,0.9129055202979696
2026-03-18T01:56:21.826887,28294698.427083,176.71154944044645,88.35577472022322,dynerf,cut_roasted_beef,True,0.3,default_fifo,4,True,0.5,7472416.0,7220065.0,26579139.489582997,0.933853731979041
2026-03-18T01:57:28.537267,19492207.265625045,256.51276594096214,128.25638297048107,dynerf,flame_salmon_1,True,0.3,default_fifo,4,True,0.5,8446944.0,12889110.0,17553242.687500045,0.8986024426997353
2026-03-18T01:58:15.980502,28346243.156249754,176.39021765385527,88.19510882692764,dynerf,flame_steak,True,0.3,default_fifo,4,True,0.5,6529888.0,6282707.5,26705431.499999736,0.941494801289855
2026-03-18T01:59:00.151909,24089292.187499963,207.56110063684315,103.78055031842158,dynerf,sear_steak,True,0.3,default_fifo,4,True,0.5,6646848.0,6974271.875,22551727.812499963,0.9357794696601941
2026-03-18T02:18:20.309951,36908238.84375,135.47110771574228,67.73555385787114,dynerf,coffee_martini,True,0.3,default_fifo,4,True,0.5,8353600.0,12633581.875,35002290.28125,0.9451760071239447
2026-03-18T02:19:07.303139,30288487.921875,165.07922128357197,82.53961064178598,dynerf,cook_spinach,True,0.3,default_fifo,4,True,0.5,7303040.0,6333688.75,28599753.8125,0.9429182452579999
2026-03-18T02:19:50.866707,17009821.40625,293.9478246469317,146.97391232346584,dynerf,cut_roasted_beef,True,0.3,default_fifo,4,True,0.5,7472416.0,7220065.0,15294594.1875,0.894087208734564
2026-03-18T02:20:56.766769,16567451.578125,301.79656638331755,150.89828319165878,dynerf,flame_salmon_1,True,0.3,default_fifo,4,True,0.5,8446944.0,12889110.0,14627557.75,0.8821140930771602
2026-03-18T02:21:42.392612,23826506.953125,209.85031544223972,104.92515772111986,dynerf,flame_steak,True,0.3,default_fifo,4,True,0.5,6529888.0,6282707.5,22319909.765625,0.931517922189136
2026-03-18T02:22:25.888504,22618179.21875,221.06111865340176,110.53055932670088,dynerf,sear_steak,True,0.3,default_fifo,4,True,0.5,6646848.0,6974271.875,21078869.09375,0.9282351712702449
